"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0
"13",1,2,0
"21",1,3,0
"22",1,4,0
"23",1,5,0.0787093417261716
"24",1,6,3.23880151666659
"25",1,7,2.08068773861598
"26",1,8,2.60180140299126
"27",1,9,0.0423280423280423
"3",1,10,0
"4",1,11,0
"5",1,12,0
"6",1,13,0
"7",1,14,0
"8",1,15,0
"9",1,16,0
"10",1,17,0
"11",1,18,0
"12",1,19,0
"14",1,20,0
"15",1,21,0
"16",1,22,0
"17",1,23,0
"18",1,24,0
"19",1,25,0
"20",1,26,0
"298",2,0,0
"299",2,1,0.93368700265252
"310",2,2,2.44031830238727
"318",2,3,0.106100795755968
"319",2,4,0.106100795755968
"320",2,5,0.212201591511936
"321",2,6,2.9920424403183
"322",2,7,0.827586206896552
"323",2,8,0.23342175066313
"324",2,9,0
"300",2,10,0
"301",2,11,0.127320954907162
"302",2,12,0.0212201591511936
"303",2,13,0
"304",2,14,0
"305",2,15,0
"306",2,16,0
"307",2,17,0
"308",2,18,0
"309",2,19,0
"311",2,20,0
"312",2,21,0
"313",2,22,0
"314",2,23,0
"315",2,24,0
"316",2,25,0
"317",2,26,0
"595",3,0,0
"596",3,1,2.24898199235599
"607",3,2,3.8910958280445
"615",3,3,0.232037824608158
"616",3,4,0
"617",3,5,0.214188761176761
"618",3,6,0.0356981268627936
"619",3,7,0
"620",3,8,0
"621",3,9,0
"597",3,10,0
"598",3,11,0
"599",3,12,0
"600",3,13,0
"601",3,14,0
"602",3,15,0
"603",3,16,0
"604",3,17,0
"605",3,18,0
"606",3,19,0
"608",3,20,0
"609",3,21,0
"610",3,22,0
"611",3,23,0
"612",3,24,0
"613",3,25,0
"614",3,26,0
"892",4,0,0
"893",4,1,0.373888550042966
"904",4,2,1.49555420017186
"912",4,3,0.0479344294926879
"913",4,4,0
"914",4,5,0.59438692570933
"915",4,6,0.0383475435941503
"916",4,7,0.143803288478064
"917",4,8,0.0575213153912255
"918",4,9,0
"894",4,10,0
"895",4,11,0
"896",4,12,0
"897",4,13,0
"898",4,14,0
"899",4,15,0
"900",4,16,0
"901",4,17,0
"902",4,18,0
"903",4,19,0
"905",4,20,0
"906",4,21,0
"907",4,22,0
"908",4,23,0
"909",4,24,0
"910",4,25,0
"911",4,26,0
"946",5,0,0
"947",5,1,1.23008354371037
"958",5,2,0.140947072716813
"966",5,3,0
"967",5,4,0
"968",5,5,0.820055695806914
"969",5,6,0.884122547041829
"970",5,7,1.30696376519227
"971",5,8,0
"972",5,9,0
"948",5,10,0
"949",5,11,0
"950",5,12,0
"951",5,13,0
"952",5,14,0
"953",5,15,0
"954",5,16,0
"955",5,17,0
"956",5,18,0
"957",5,19,0
"959",5,20,0
"960",5,21,0
"961",5,22,0
"962",5,23,0
"963",5,24,0
"964",5,25,0
"965",5,26,0
"973",6,0,0
"974",6,1,3.45888594164456
"985",6,2,0.976127320954907
"993",6,3,0.70026525198939
"994",6,4,0.742705570291777
"995",6,5,0
"996",6,6,0.954907161803713
"997",6,7,0.297082228116711
"998",6,8,0.636604774535809
"999",6,9,0
"975",6,10,0
"976",6,11,0
"977",6,12,0
"978",6,13,0
"979",6,14,0
"980",6,15,0
"981",6,16,0
"982",6,17,0.148541114058355
"983",6,18,0.0848806366047745
"984",6,19,0
"986",6,20,0
"987",6,21,0
"988",6,22,0
"989",6,23,0
"990",6,24,0
"991",6,25,0
"992",6,26,0
"1000",7,0,0
"1001",7,1,0.761459254935737
"1012",7,2,4.9304486757089
"1020",7,3,0
"1021",7,4,0.704349810815556
"1022",7,5,0
"1023",7,6,0.0190364813733934
"1024",7,7,0.190364813733934
"1025",7,8,0.114218888240361
"1026",7,9,0
"1002",7,10,0
"1003",7,11,0.0571094441201803
"1004",7,12,0.0571094441201803
"1005",7,13,0
"1006",7,14,0
"1007",7,15,0
"1008",7,16,0
"1009",7,17,0
"1010",7,18,0
"1011",7,19,0.190364813733934
"1013",7,20,0.0380729627467868
"1014",7,21,0
"1015",7,22,0.0380729627467868
"1016",7,23,0
"1017",7,24,0
"1018",7,25,0
"1019",7,26,0
"1027",8,0,0
"1028",8,1,1.38943620099731
"1039",8,2,4.24816125822167
"1047",8,3,0.0479115931378384
"1048",8,4,0
"1049",8,5,0
"1050",8,6,0
"1051",8,7,0
"1052",8,8,0
"1053",8,9,0
"1029",8,10,0
"1030",8,11,0
"1031",8,12,0.127764248367569
"1032",8,13,0
"1033",8,14,0
"1034",8,15,0
"1035",8,16,0
"1036",8,17,0
"1037",8,18,0
"1038",8,19,0
"1040",8,20,0
"1041",8,21,0
"1042",8,22,0
"1043",8,23,0
"1044",8,24,0
"1045",8,25,0
"1046",8,26,0
"1054",9,0,0
"1055",9,1,1.01096053612245
"1066",9,2,0.144422933731779
"1074",9,3,0
"1075",9,4,1.24564780343659
"1076",9,5,0
"1077",9,6,0
"1078",9,7,0
"1079",9,8,0
"1080",9,9,0
"1056",9,10,0
"1057",9,11,0
"1058",9,12,0
"1059",9,13,0.0451321667911809
"1060",9,14,0
"1061",9,15,0
"1062",9,16,0
"1063",9,17,0
"1064",9,18,0
"1065",9,19,0
"1067",9,20,0
"1068",9,21,0
"1069",9,22,0
"1070",9,23,0
"1071",9,24,0
"1072",9,25,0
"1073",9,26,0
"28",10,0,0
"29",10,1,0
"40",10,2,4.49867374005305
"48",10,3,2.9920424403183
"49",10,4,0
"50",10,5,0.403183023872679
"51",10,6,0
"52",10,7,0
"53",10,8,0
"54",10,9,0
"30",10,10,0
"31",10,11,0.0848806366047745
"32",10,12,0.0212201591511936
"33",10,13,0
"34",10,14,0
"35",10,15,0
"36",10,16,0
"37",10,17,0
"38",10,18,0
"39",10,19,0
"41",10,20,0
"42",10,21,0
"43",10,22,0
"44",10,23,0
"45",10,24,0
"46",10,25,0
"47",10,26,0
"55",11,0,0
"56",11,1,0
"67",11,2,0
"75",11,3,3.84962406015038
"76",11,4,3.06766917293233
"77",11,5,0
"78",11,6,0
"79",11,7,0
"80",11,8,0
"81",11,9,0
"57",11,10,0
"58",11,11,0
"59",11,12,0
"60",11,13,0
"61",11,14,1.08270676691729
"62",11,15,0
"63",11,16,0
"64",11,17,0
"65",11,18,0
"66",11,19,0
"68",11,20,0
"69",11,21,0
"70",11,22,0
"71",11,23,0
"72",11,24,0
"73",11,25,0
"74",11,26,0
"82",12,0,0
"83",12,1,0
"94",12,2,0
"102",12,3,0
"103",12,4,1.52383493750427
"104",12,5,0
"105",12,6,0.152383493750427
"106",12,7,0
"107",12,8,0.0253972489584044
"108",12,9,0
"84",12,10,0
"85",12,11,0
"86",12,12,0
"87",12,13,0.0761917468752133
"88",12,14,4.24134057605354
"89",12,15,0.558739477084898
"90",12,16,0
"91",12,17,0
"92",12,18,0
"93",12,19,0
"95",12,20,0
"96",12,21,0
"97",12,22,0
"98",12,23,0
"99",12,24,0
"100",12,25,0
"101",12,26,0.0253972489584044
"109",13,0,0
"110",13,1,0
"121",13,2,0
"129",13,3,0
"130",13,4,0
"131",13,5,0
"132",13,6,2.87658385899638
"133",13,7,0.217556762445104
"134",13,8,2.77989196457633
"135",13,9,0
"111",13,10,0
"112",13,11,0
"113",13,12,0
"114",13,13,0.0725189208150347
"115",13,14,0.0483459472100232
"116",13,15,0
"117",13,16,0
"118",13,17,0
"119",13,18,0
"120",13,19,0
"122",13,20,0
"123",13,21,0
"124",13,22,0
"125",13,23,0.0483459472100232
"126",13,24,0
"127",13,25,0
"128",13,26,0.193383788840093
"136",14,0,0
"137",14,1,0
"148",14,2,0
"156",14,3,0
"157",14,4,0
"158",14,5,0
"159",14,6,1.08956756496452
"160",14,7,3.99508107153657
"161",14,8,0
"162",14,9,0
"138",14,10,0
"139",14,11,0.113496621350471
"140",14,12,0.0226993242700941
"141",14,13,0
"142",14,14,0.27239189124113
"143",14,15,0
"144",14,16,0
"145",14,17,0
"146",14,18,0
"147",14,19,0
"149",14,20,0
"150",14,21,0
"151",14,22,0
"152",14,23,0
"153",14,24,0.0907972970803765
"154",14,25,0.204293918430847
"155",14,26,0
"163",15,0,0
"164",15,1,0.060377358490566
"175",15,2,3.29056603773585
"183",15,3,0
"184",15,4,0
"185",15,5,0
"186",15,6,0.99622641509434
"187",15,7,3.53207547169811
"188",15,8,0
"189",15,9,0
"165",15,10,0
"166",15,11,0
"167",15,12,0
"168",15,13,0
"169",15,14,0.120754716981132
"170",15,15,0
"171",15,16,0
"172",15,17,0
"173",15,18,0
"174",15,19,0
"176",15,20,0
"177",15,21,0
"178",15,22,0
"179",15,23,0
"180",15,24,0
"181",15,25,0
"182",15,26,0
"190",16,0,0
"191",16,1,0.211320754716981
"202",16,2,5.37358490566038
"210",16,3,0.060377358490566
"211",16,4,0
"212",16,5,0
"213",16,6,1.6
"214",16,7,0.513207547169811
"215",16,8,0.241509433962264
"216",16,9,0
"192",16,10,0
"193",16,11,0
"194",16,12,0
"195",16,13,0
"196",16,14,0
"197",16,15,0
"198",16,16,0
"199",16,17,0
"200",16,18,0
"201",16,19,0
"203",16,20,0
"204",16,21,0
"205",16,22,0
"206",16,23,0
"207",16,24,0
"208",16,25,0
"209",16,26,0
"217",17,0,0
"218",17,1,0
"229",17,2,1.17735849056604
"237",17,3,0.935849056603774
"238",17,4,0
"239",17,5,0
"240",17,6,0
"241",17,7,0.362264150943396
"242",17,8,5.28301886792453
"243",17,9,0.0905660377358491
"219",17,10,0.060377358490566
"220",17,11,0.060377358490566
"221",17,12,0
"222",17,13,0
"223",17,14,0.030188679245283
"224",17,15,0
"225",17,16,0
"226",17,17,0
"227",17,18,0
"228",17,19,0
"230",17,20,0
"231",17,21,0
"232",17,22,0
"233",17,23,0
"234",17,24,0
"235",17,25,0
"236",17,26,0
"244",18,0,0
"245",18,1,0
"256",18,2,0.181132075471698
"264",18,3,0.633962264150943
"265",18,4,0
"266",18,5,0
"267",18,6,0.362264150943396
"268",18,7,0
"269",18,8,4.28679245283019
"270",18,9,0.452830188679245
"246",18,10,0.694339622641509
"247",18,11,0
"248",18,12,0
"249",18,13,0
"250",18,14,0
"251",18,15,0
"252",18,16,0
"253",18,17,0
"254",18,18,0
"255",18,19,0
"257",18,20,0
"258",18,21,0
"259",18,22,1.08679245283019
"260",18,23,0.30188679245283
"261",18,24,0
"262",18,25,0
"263",18,26,0
"271",19,0,0
"272",19,1,0
"283",19,2,0
"291",19,3,1.7811320754717
"292",19,4,0
"293",19,5,0
"294",19,6,0
"295",19,7,0.030188679245283
"296",19,8,5.91698113207547
"297",19,9,0
"273",19,10,0
"274",19,11,0
"275",19,12,0
"276",19,13,0
"277",19,14,0
"278",19,15,0
"279",19,16,0
"280",19,17,0
"281",19,18,0
"282",19,19,0
"284",19,20,0
"285",19,21,0
"286",19,22,0.150943396226415
"287",19,23,0.120754716981132
"288",19,24,0
"289",19,25,0
"290",19,26,0
"325",20,0,0
"326",20,1,0
"337",20,2,0
"345",20,3,0.271698113207547
"346",20,4,1.81132075471698
"347",20,5,0.452830188679245
"348",20,6,0
"349",20,7,2.56603773584906
"350",20,8,2.71698113207547
"351",20,9,0
"327",20,10,0
"328",20,11,0.150943396226415
"329",20,12,0
"330",20,13,0
"331",20,14,0
"332",20,15,0
"333",20,16,0
"334",20,17,0
"335",20,18,0
"336",20,19,0
"338",20,20,0
"339",20,21,0
"340",20,22,0
"341",20,23,0.030188679245283
"342",20,24,0
"343",20,25,0
"344",20,26,0
"352",21,0,0
"353",21,1,0
"364",21,2,0
"372",21,3,0
"373",21,4,1.09206349206349
"374",21,5,0.203174603174603
"375",21,6,0
"376",21,7,1.4984126984127
"377",21,8,0.177777777777778
"378",21,9,0
"354",21,10,0.0761904761904762
"355",21,11,4.9015873015873
"356",21,12,0
"357",21,13,0
"358",21,14,0
"359",21,15,0
"360",21,16,0
"361",21,17,0
"362",21,18,0
"363",21,19,0.0507936507936508
"365",21,20,0
"366",21,21,0
"367",21,22,0
"368",21,23,0
"369",21,24,0
"370",21,25,0
"371",21,26,0
"379",22,0,0
"380",22,1,0
"391",22,2,2.53968253968254
"399",22,3,3.17460317460317
"400",22,4,1.93015873015873
"401",22,5,0.228571428571429
"402",22,6,0
"403",22,7,0.0761904761904762
"404",22,8,0.0253968253968254
"405",22,9,0
"381",22,10,0
"382",22,11,0
"383",22,12,0
"384",22,13,0
"385",22,14,0
"386",22,15,0
"387",22,16,0
"388",22,17,0
"389",22,18,0.0253968253968254
"390",22,19,0
"392",22,20,0
"393",22,21,0
"394",22,22,0
"395",22,23,0
"396",22,24,0
"397",22,25,0
"398",22,26,0
"406",23,0,0
"407",23,1,0
"418",23,2,2.19108280254777
"426",23,3,3.82165605095541
"427",23,4,0.611464968152866
"428",23,5,1.22292993630573
"429",23,6,0
"430",23,7,0
"431",23,8,0
"432",23,9,0.152866242038217
"408",23,10,0
"409",23,11,0
"410",23,12,0
"411",23,13,0
"412",23,14,0
"413",23,15,0
"414",23,16,0
"415",23,17,0
"416",23,18,0
"417",23,19,0
"419",23,20,0
"420",23,21,0
"421",23,22,0
"422",23,23,0
"423",23,24,0
"424",23,25,0
"425",23,26,0
"433",24,0,0
"434",24,1,0
"445",24,2,2.51428571428571
"453",24,3,1.7015873015873
"454",24,4,2.59047619047619
"455",24,5,0.863492063492064
"456",24,6,0
"457",24,7,0
"458",24,8,0
"459",24,9,0.228571428571429
"435",24,10,0.0761904761904762
"436",24,11,0.0253968253968254
"437",24,12,0
"438",24,13,0
"439",24,14,0
"440",24,15,0
"441",24,16,0
"442",24,17,0
"443",24,18,0
"444",24,19,0
"446",24,20,0
"447",24,21,0
"448",24,22,0
"449",24,23,0
"450",24,24,0
"451",24,25,0
"452",24,26,0
"460",25,0,0
"461",25,1,0
"472",25,2,3.4140127388535
"480",25,3,2.19108280254777
"481",25,4,1.47770700636943
"482",25,5,0.101910828025478
"483",25,6,0.127388535031847
"484",25,7,0
"485",25,8,0
"486",25,9,0.229299363057325
"462",25,10,0.0509554140127389
"463",25,11,0.407643312101911
"464",25,12,0
"465",25,13,0
"466",25,14,0
"467",25,15,0
"468",25,16,0
"469",25,17,0
"470",25,18,0
"471",25,19,0
"473",25,20,0
"474",25,21,0
"475",25,22,0
"476",25,23,0
"477",25,24,0
"478",25,25,0
"479",25,26,0
"487",26,0,0
"488",26,1,0
"499",26,2,3.5047619047619
"507",26,3,2.20952380952381
"508",26,4,0.584126984126984
"509",26,5,1.7015873015873
"510",26,6,0
"511",26,7,0
"512",26,8,0
"513",26,9,0
"489",26,10,0
"490",26,11,0
"491",26,12,0
"492",26,13,0
"493",26,14,0
"494",26,15,0
"495",26,16,0
"496",26,17,0
"497",26,18,0
"498",26,19,0
"500",26,20,0
"501",26,21,0
"502",26,22,0
"503",26,23,0
"504",26,24,0
"505",26,25,0
"506",26,26,0
"514",27,0,0
"515",27,1,1.17197452229299
"526",27,2,0.636942675159236
"534",27,3,4.96815286624204
"535",27,4,0.968152866242038
"536",27,5,0.229299363057325
"537",27,6,0
"538",27,7,0
"539",27,8,0
"540",27,9,0
"516",27,10,0
"517",27,11,0
"518",27,12,0
"519",27,13,0.0254777070063694
"520",27,14,0
"521",27,15,0
"522",27,16,0
"523",27,17,0
"524",27,18,0
"525",27,19,0
"527",27,20,0
"528",27,21,0
"529",27,22,0
"530",27,23,0
"531",27,24,0
"532",27,25,0
"533",27,26,0
"541",28,0,0
"542",28,1,2.48888888888889
"553",28,2,1.98095238095238
"561",28,3,1.93015873015873
"562",28,4,1.32063492063492
"563",28,5,0.101587301587302
"564",28,6,0
"565",28,7,0
"566",28,8,0
"567",28,9,0.0761904761904762
"543",28,10,0
"544",28,11,0
"545",28,12,0.101587301587302
"546",28,13,0
"547",28,14,0
"548",28,15,0
"549",28,16,0
"550",28,17,0
"551",28,18,0
"552",28,19,0
"554",28,20,0
"555",28,21,0
"556",28,22,0
"557",28,23,0
"558",28,24,0
"559",28,25,0
"560",28,26,0
"568",29,0,0
"569",29,1,0
"580",29,2,2.98089171974522
"588",29,3,3.56687898089172
"589",29,4,1.45222929936306
"590",29,5,0
"591",29,6,0
"592",29,7,0
"593",29,8,0
"594",29,9,0
"570",29,10,0
"571",29,11,0
"572",29,12,0
"573",29,13,0
"574",29,14,0
"575",29,15,0
"576",29,16,0
"577",29,17,0
"578",29,18,0
"579",29,19,0
"581",29,20,0
"582",29,21,0
"583",29,22,0
"584",29,23,0
"585",29,24,0
"586",29,25,0
"587",29,26,0
"622",30,0,0
"623",30,1,0
"634",30,2,6.72611464968153
"642",30,3,0.0254777070063694
"643",30,4,1.2484076433121
"644",30,5,0
"645",30,6,0
"646",30,7,0
"647",30,8,0
"648",30,9,0
"624",30,10,0
"625",30,11,0
"626",30,12,0
"627",30,13,0
"628",30,14,0
"629",30,15,0
"630",30,16,0
"631",30,17,0
"632",30,18,0
"633",30,19,0
"635",30,20,0
"636",30,21,0
"637",30,22,0
"638",30,23,0
"639",30,24,0
"640",30,25,0
"641",30,26,0
"649",31,0,0
"650",31,1,0
"661",31,2,3.31506849315068
"669",31,3,0
"670",31,4,0.465753424657534
"671",31,5,0
"672",31,6,0
"673",31,7,0
"674",31,8,0
"675",31,9,0
"651",31,10,0
"652",31,11,0
"653",31,12,0
"654",31,13,0
"655",31,14,0.767123287671233
"656",31,15,2.08219178082192
"657",31,16,0.136986301369863
"658",31,17,0.164383561643836
"659",31,18,0.356164383561644
"660",31,19,0.575342465753425
"662",31,20,0.136986301369863
"663",31,21,0
"664",31,22,0
"665",31,23,0
"666",31,24,0
"667",31,25,0
"668",31,26,0
"676",32,0,0
"677",32,1,0
"688",32,2,0
"696",32,3,0
"697",32,4,0
"698",32,5,0
"699",32,6,1.61643835616438
"700",32,7,0.191780821917808
"701",32,8,0
"702",32,9,0
"678",32,10,1.06849315068493
"679",32,11,0
"680",32,12,0
"681",32,13,0
"682",32,14,0.465753424657534
"683",32,15,4.52054794520548
"684",32,16,0
"685",32,17,0
"686",32,18,0
"687",32,19,0
"689",32,20,0.136986301369863
"690",32,21,0
"691",32,22,0
"692",32,23,0
"693",32,24,0
"694",32,25,0
"695",32,26,0
"703",33,0,0
"704",33,1,0.608659509032792
"715",33,2,2.52827796059775
"723",33,3,0
"724",33,4,1.52164877258198
"725",33,5,0.5618395467995
"726",33,6,1.05344915024906
"727",33,7,0.421379660099625
"728",33,8,0
"729",33,9,0
"705",33,10,0
"706",33,11,0
"707",33,12,0
"708",33,13,0
"709",33,14,0
"710",33,15,0
"711",33,16,0
"712",33,17,0
"713",33,18,0
"714",33,19,0
"716",33,20,0
"717",33,21,0
"718",33,22,0
"719",33,23,0
"720",33,24,0
"721",33,25,0
"722",33,26,0
"730",34,0,0
"731",34,1,0
"742",34,2,1.50684931506849
"750",34,3,0
"751",34,4,1.04109589041096
"752",34,5,4.71232876712329
"753",34,6,0.63013698630137
"754",34,7,0.10958904109589
"755",34,8,0
"756",34,9,0
"732",34,10,0
"733",34,11,0
"734",34,12,0
"735",34,13,0
"736",34,14,0
"737",34,15,0
"738",34,16,0
"739",34,17,0
"740",34,18,0
"741",34,19,0
"743",34,20,0
"744",34,21,0
"745",34,22,0
"746",34,23,0
"747",34,24,0
"748",34,25,0
"749",34,26,0
"757",35,0,0
"758",35,1,0.65979381443299
"769",35,2,0
"777",35,3,0
"778",35,4,2.52920962199313
"779",35,5,2.25429553264605
"780",35,6,2.4192439862543
"781",35,7,0.13745704467354
"782",35,8,0
"783",35,9,0
"759",35,10,0
"760",35,11,0
"761",35,12,0
"762",35,13,0
"763",35,14,0
"764",35,15,0
"765",35,16,0
"766",35,17,0
"767",35,18,0
"768",35,19,0
"770",35,20,0
"771",35,21,0
"772",35,22,0
"773",35,23,0
"774",35,24,0
"775",35,25,0
"776",35,26,0
"784",36,0,0
"785",36,1,4.35616438356164
"796",36,2,0.904109589041096
"804",36,3,0
"805",36,4,1.0958904109589
"806",36,5,1.64383561643836
"807",36,6,0
"808",36,7,0
"809",36,8,0
"810",36,9,0
"786",36,10,0
"787",36,11,0
"788",36,12,0
"789",36,13,0
"790",36,14,0
"791",36,15,0
"792",36,16,0
"793",36,17,0
"794",36,18,0
"795",36,19,0
"797",36,20,0
"798",36,21,0
"799",36,22,0
"800",36,23,0
"801",36,24,0
"802",36,25,0
"803",36,26,0
"811",37,0,0
"812",37,1,0
"823",37,2,0
"831",37,3,0
"832",37,4,0.907216494845361
"833",37,5,6.70790378006873
"834",37,6,0
"835",37,7,0.0824742268041237
"836",37,8,0.0274914089347079
"837",37,9,0.13745704467354
"813",37,10,0
"814",37,11,0.13745704467354
"815",37,12,0
"816",37,13,0
"817",37,14,0
"818",37,15,0
"819",37,16,0
"820",37,17,0
"821",37,18,0
"822",37,19,0
"824",37,20,0
"825",37,21,0
"826",37,22,0
"827",37,23,0
"828",37,24,0
"829",37,25,0
"830",37,26,0
"838",38,0,0
"839",38,1,0
"850",38,2,0
"858",38,3,0
"859",38,4,0
"860",38,5,5.72602739726027
"861",38,6,0.191780821917808
"862",38,7,0
"863",38,8,0
"864",38,9,0.904109589041096
"840",38,10,0.273972602739726
"841",38,11,0.904109589041096
"842",38,12,0
"843",38,13,0
"844",38,14,0
